index,vocal,instrumental,heimholz group
1,𝈀,𝈝,E
2,𝈁,𝈞,E
3,𝈂,𝈂,E
4,𝈃,𝈟,F
5,𝈄,𝈠,F
6,𝈅,Τ,F
7,𝈆,𝈡,G
8,𝈇,𝈢,G
9,𝈈,𝈆,G
10,𝈉,Η,A
11,𝈊,𝈣,A
12,𝈋,𝈋,A
13,𝈌,𝈥,B
14,𝈍,𝈦,B
15,𝈎,𝈎,B
16,𝈏,Ε,c
17,𝈐,𝈧,c
18,𝈑,𝈨,c
19,𝈒,𝈩,d
20,𝈓,𝈜,d
21,𝈔,𝈅,d
22,𝈕,Γ,e
23,𝈖,𝈪,e
24,𝈗,𝈫,e
25,Ω,𝈬,f
26,Ψ,𝈭,f
27,Χ,𝈮,f
28,Φ,𝈓,g
29,Υ,𝈯,g
30,Τ,𝈰,g
31,Ϲ,Ϲ,a
32,Ρ,𝈱,a
33,Π,Ͻ,a
34,Ο,Κ,b
35,Ξ,𝈎,b
36,Ν,𝈲,b
37,Μ,𝈳,c'
38,Λ,𝈴,c'
39,Κ,𝈵,c'
40,Ι,𝈶,d'
41,Θ,𝈍,d'
42,Η,𝈷,d'
43,Ζ,𝈸,e'
44,Ε,𝈈,e'
45,Δ,𝈹,e'
46,Γ,Ν,f'
47,Β,𝈺,f'
48,Α,𝈻,f'
49,Ʊ,𝈼,g'
50,𝈘,𝈽,g'
51,𝈙,𝈾,g'
52,𝈚,𝈿,a'
53,𝈛,𝉀,a'
54,𝈜,𝉁,a'
55,Ο',Κ',b'
56,Ξ',𝈎',b'
57,Ν',𝈲',b'
58,Μ',𝈳',c"
59,Λ',𝈴',c"
60,Κ',𝈵',c"
61,Ι',𝈶',d"
62,Θ',𝈍',d"
63,Η',𝈷',d"
64,Ζ',𝈸',e"
65,Ε',𝈈',e"
66,Δ',𝈹',e"
67,Γ',Ν',f"
68,Β',𝈺',f"
69,Α',𝈻',f"
70,Ʊ',𝈼',g"
